IdMesta,Naziv
714399,Доњи Криводол
714402,Драговита
714429,Жељуша
714437,Изатовци
714445,Искровци
714453,Каменица
714461,Куса Врана
714470,Лукавица
714488,Мазгош
714496,Мојинци
714500,Паскашија
714518,Петачинци
714526,Петрлаш
714534,Планиница
714542,Поганово
714569,Прача
714577,Протопопинци
714585,Радејна
714593,Сенокос
714607,Скрвеница
714615,Сливница
714623,Смиловци
714631,Трнски Одоровци
746657,Белеш
714640,Белотинац
714658,Дољевац
714666,Клисура
714674,Кнежица
714682,Кочане
714704,Малошиште
714712,Мекиш
714739,Орљане
714747,Перутина
714755,Пуковац
714763,Русна
714771,Ћурлина
714780,Чапљинац
714798,Чечина
714801,Шајиновац
714810,Шарлинце
714828,Александровац
714836,Брзоходе
714844,Витежево
714852,Влашки До
714879,Жабари
714887,Кочетин
714895,Миријево
714909,Ореовица
714917,Полатна
714925,Породин
714933,Свињарево
714941,Сибница
714950,Симићево
714968,Тићевац
714976,Четереже
714984,Близнак
714992,Брезница
715000,Вуковац
715018,Жагубица
715026,Изварица
715034,Јошаница
715042,Крепољин
715069,Крупаја
715077,Лазница
715085,Липе
715093,Медвеђица
715107,Милановац
715115,Милатовац
715123,Осаница
715131,Рибаре
715140,Селиште
715158,Сиге
715166,Суви До
715174,Асановац
715182,Бадњевац
715204,Влахово
715212,Вољчинце
715239,Глашинце
715247,Горње Црнатово
715255,Горњи Дреновац
715263,Грудаш
715271,Дебели Луг
715280,Доње Црнатово
715298,Доњи Дреновац
715301,Држановац
715310,Дубово
715328,Ђакус
715336,Житорађа
715344,Зладовац
715352,Јасеница
715379,Каре
715387,Коњарник
715395,Лукомир
715409,Ново Момчилово
715417,Пејковац
715425,Подина
715433,Речица
715441,Самариновац
715450,Извор
715468,Стара Божурна
715476,Старо Момчилово
715484,Студенац
715492,Топоница
715506,Боровац
715514,Брусник
715522,Велика Јасикова
715549,Велики Извор
715557,Велики Јасеновац
715565,Вражогрнац
715573,Вратарница
715581,Врбица
715590,Гамзиград
715603,Глоговица
715611,Горња Бела Река
715620,Градсково
715638,Грлиште
715646,Грљан
715654,Дубочане
715662,Заграђе
715689,Зајечар
715697,Звездан
715719,Јелашница
715727,Кленовац
715735,Копривница
715743,Ласово
715751,Леновац
715760,Лесковац
715778,Лубница
715786,Мала Јасикова
715794,Мали Извор
715808,Мали Јасеновац
